id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
1O9iZyzufN1fUdVO97mmm5,How High the Moon,0,175333,0,"['Dick Haymes', 'Harry James', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su' '5MpELOfAiq7aIBTij30phD'
 '6lXiGaWjISZnER53ZJe6QO']",1922,0.328,0.307,0,-11.573,1,0.0484,0.989,0.277,0.21,0.259,117.225,4,1922
3h8ioTTWfrC25hrHwQQpLc,All Or Nothing at All,0,164320,0,"['Dick Haymes', 'Harry James', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su' '5MpELOfAiq7aIBTij30phD'
 '6lXiGaWjISZnER53ZJe6QO']",1922,0.237,0.555,2,-6.611,0,0.0401,0.812,0.000262,0.366,0.292,92.213,3,1922
3eMrYc092k7SIJfWJ7oasR,Weather Bird,38,161933,0,"['Louis Armstrong', 'Earl Hines']",['19eLuQmk9aCobbVDHc6eek' '2mY5u4CceAPrpBnse1WpFr'],1923,0.831,0.262,8,-12.386,1,0.0942,0.984,0.912,0.204,0.901,104.606,4,1923
7lRFR5GJCxK87ZbVMtQSeS,Ain't Misbehavin',28,192600,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.665,0.254,8,-9.879,1,0.108,0.976,0.00217,0.644,0.503,125.734,4,1923
50zXyjVdFb3xAr3hnyYYn1,St. Louis Blues,23,189600,0,"['Bessie Smith', 'Louis Armstrong']",['5ESobCkc6JI4tIMxQttqeg' '19eLuQmk9aCobbVDHc6eek'],1923,0.355,0.114,10,-15.968,1,0.0588,0.991,0.00686,0.108,0.258,69.902,4,1923
4ejUoPIMggFTVrAyvodqJQ,St. Louis Blues (with Louis Armstrong),23,190107,0,"['Bessie Smith', 'Louis Armstrong']",['5ESobCkc6JI4tIMxQttqeg' '19eLuQmk9aCobbVDHc6eek'],1923,0.408,0.145,10,-10.99,1,0.0501,0.994,4.73e-05,0.138,0.294,68.8,4,1923
7GRsQLXMzDHYb8zZAnMCDK,Sobbin' Hearted Blues,15,180533,0,"['Bessie Smith', 'Louis Armstrong']",['5ESobCkc6JI4tIMxQttqeg' '19eLuQmk9aCobbVDHc6eek'],1923,0.415,0.0795,0,-19.172,1,0.0908,0.995,3.73e-05,0.426,0.443,74.683,4,1923
5WlMyDvyQedom0kQ3MCTow,Lazy River,14,182707,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.571,0.269,4,-11.728,0,0.067,0.96,0.0129,0.121,0.49,101.845,4,1923
3U6L5KW48YOsksN9Qvlydl,I've Got The World On A String,11,195000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.544,0.181,5,-11.729,1,0.0387,0.985,0.0256,0.401,0.411,129.803,4,1923
1v6v5llnekLbreJYIRfkKc,Chicago Breakdown,8,203307,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.604,0.325,10,-10.48,1,0.213,0.985,0.84,0.195,0.629,168.506,4,1923
300WVfsVnOUJM2KXAm9IGS,Stardust,8,205533,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.717,0.209,1,-13.224,1,0.0622,0.979,0.439,0.0609,0.889,127.401,4,1923
4GOd9yNQrpl6omACRgvCX2,Song of the Islands,8,208200,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.603,0.13,8,-13.74,1,0.0426,0.976,0.765,0.0943,0.381,143.497,4,1923
06Q9isDLNDaHJNPa5lM4Cg,Struttin'With Some Barbecue,5,179840,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.726,0.212,8,-14.744,1,0.126,0.963,0.688,0.0798,0.825,97.21,4,1923
18NiVMY4Fz6MjnhrX8xFiM,That Rhythm Man,5,180600,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.719,0.388,1,-11.337,1,0.154,0.97,0.526,0.132,0.806,118.272,4,1923
